1,-4420.41,-5326.98,69
2,-4553.06,-5279.52,104
3,-4538.78,-5081.05,27
4,-4520.41,-5411.78,3
5,-4126.53,-5005.19,4
6,-3693.88,-4641.44,60
7,-4095.92,-4784.84,59
8,-4026.53,-4827.2,36
9,-3969.39,-4754.68,62
10,-3951.02,-4680.96,55
11,-3946.94,-4608.95,96
12,-3826.53,-4556.06,91
13,-3893.88,-4531.9,269
14,-3738.78,-4388.64,137
15,-3808.16,-4501.88,109
16,-4010.2,-4651.39,134
17,-4077.08,-4784.21,255
18,-3991.67,-4663.8,150
19,-3343.75,-4429.31,142
20,-3679.17,-4430.51,136
21,-3845.83,-4637.68,83
22,-3818.75,-4523.37,150
23,-3875.0,-4531.84,162
24,-4068.75,-4698.2,252
25,-3864.58,-4679.05,59
26,-3741.67,-4403.63,111
27,-3631.25,-4430.17,49
28,-3631.25,-4358.15,59
29,-3689.58,-4366.01,126
30,-3747.92,-4356.68,190
31,-3897.92,-4524.95,68
32,-3552.08,-4305.84,64
33,-3497.92,-4188.05,193
34,-3906.38,-4640.87,51
35,-4093.62,-4858.67,39
36,-3944.68,-4625.99,155
37,-3853.19,-4651.2,145
38,-3791.49,-4634.43,168
39,-3700.0,-4499.01,261
40,-3853.19,-4591.07,181
41,-3714.89,-4532.16,247
42,-3655.32,-4415.86,264
43,-3776.6,-4553.99,247
44,-3706.38,-4472.1,247
45,-3568.09,-4299.8,240
46,-3678.72,-4515.49,108
47,-3642.55,-4366.57,269
48,-3870.21,-4564.89,287
49,-3297.87,-4361.02,340
50,-3993.62,-4594.37,90
51,-3945.65,-4772.93,182
52,-4126.09,-4775.62,36
53,-4043.48,-4747.07,132
54,-3882.61,-4534.9,256
55,-3980.43,-4761.82,126
56,-3921.74,-4687.34,239
57,-3873.91,-4577.47,188
58,-4015.22,-4667.45,156
59,-3886.96,-4748.22,71
60,-3643.48,-4382.86,98
61,-3865.22,-4776.21,46
62,-3971.74,-4679.13,68
63,-3871.74,-4609.14,133
64,-3671.74,-4439.99,116
65,-3786.96,-4535.64,288
66,-3919.57,-4579.99,127
67,-3453.33,-4378.19,132
68,-3975.56,-4671.85,152
69,-3806.67,-4519.51,120
70,-3822.22,-4500.2,218
71,-4137.78,-4750.02,83
72,-3775.56,-4543.63,254
73,-3966.67,-4683.54,75
74,-3653.33,-4659.32,92
75,-3717.78,-4526.5,298
76,-3782.22,-4598.89,172
77,-3635.56,-4393.04,181
78,-3742.22,-4589.29,235
79,-3793.33,-4443.69,406
80,-3811.11,-4674.52,114
81,-3540.0,-4309.21,161
82,-3524.44,-4420.13,245
83,-3844.44,-4610.94,142
84,-3895.45,-4670.59,229
85,-3947.73,-4897.69,141
86,-3879.55,-4728.94,111
87,-3806.82,-4619.99,157
88,-3672.73,-4572.16,119
89,-3811.36,-4586.7,175
90,-3718.18,-4721.06,277
91,-3800.0,-4769.15,149
92,-3795.45,-4845.93,73
93,-3843.18,-4496.4,251
94,-3634.09,-4544.44,243
95,-3765.91,-4651.62,394
96,-3813.64,-4630.73,150
97,-3854.55,-4560.68,246
98,-3915.91,-4722.97,190
99,-3731.82,-4489.76,236
100,-3325.0,-4295.77,312
101,-3920.93,-4548.23,255
102,-4144.19,-4842.23,175
103,-4213.95,-4979.96,180
104,-3906.98,-4696.11,256
105,-3932.56,-4826.17,151
106,-3958.14,-4747.3,190
107,-3934.88,-4686.14,365
108,-3711.63,-4567.18,183
109,-4160.47,-4825.29,195
110,-3597.67,-4668.15,167
111,-3839.53,-4673.08,278
112,-3983.72,-4753.54,131
113,-3788.37,-4740.7,187
114,-4209.3,-5004.2,127
115,-3765.12,-4568.02,474
116,-4118.6,-4935.85,352
117,-3802.38,-4799.26,170
118,-3866.67,-4817.87,162
119,-3914.29,-4681.08,239
120,-4092.86,-4972.22,198
121,-4116.67,-4802.49,239
122,-4083.33,-4898.15,231
123,-3916.67,-4714.8,263
124,-4033.33,-4800.61,126
125,-4011.9,-4781.08,436
126,-3697.62,-4388.83,656
127,-4411.9,-5196.4,132
128,-3683.33,-4431.7,486
129,-3623.81,-4396.71,343
130,-3900.0,-4664.9,478
131,-3638.1,-4425.51,294
132,-3726.19,-4499.74,473
133,-3721.43,-4505.64,354
134,-3934.15,-4677.56,290
135,-3914.63,-4734.48,287
136,-3421.95,-4518.56,287
137,-4095.12,-5043.5,94
138,-3943.9,-4711.1,197
139,-3646.34,-4528.02,547
140,-4053.66,-4902.3,342
141,-3951.22,-4600.2,294
142,-4248.78,-4882.55,162
143,-3587.8,-4550.66,280
144,-3914.63,-4644.49,147
145,-3836.59,-4700.01,248
146,-4200.0,-4915.5,183
147,-3682.93,-4582.47,209
148,-3863.41,-4598.34,335
149,-3926.83,-4577.63,358
150,-3821.95,-4617.2,158
151,-4035.0,-4850.46,365
152,-4257.5,-5151.9,252
153,-3642.5,-4477.52,657
154,-3817.5,-4658.34,254
155,-3832.5,-4709.63,371
156,-4080.0,-4983.1,297
157,-3905.0,-4707.06,395
158,-3630.0,-4642.64,328
159,-3747.5,-4593.73,279
160,-4097.5,-4945.57,384
161,-3830.0,-4814.44,378
162,-3857.5,-4664.28,250
163,-4207.5,-4891.34,123
164,-4075.0,-4843.15,673
165,-3815.0,-4563.49,215
166,-3772.5,-4595.39,295
167,-4074.36,-4924.85,108
168,-4248.72,-5054.86,326
169,-4335.9,-5064.42,106
170,-3997.44,-4941.77,186
171,-4351.28,-5171.74,156
172,-4158.97,-4882.92,330
173,-4043.59,-4886.83,265
174,-4115.38,-4936.75,318
175,-3984.62,-4740.92,221
176,-4535.9,-5220.59,145
177,-3792.31,-4620.32,626
178,-4233.33,-4989.07,213
179,-3976.92,-4969.35,277
180,-4002.56,-4904.87,238
181,-3943.59,-4939.73,266
182,-3994.87,-4891.05,105
183,-4220.51,-4980.61,214
184,-4463.16,-5288.73,112
185,-3973.68,-4905.67,452
186,-4315.79,-5021.58,187
187,-4402.63,-5371.35,119
188,-4255.26,-5124.9,170
189,-3997.37,-4988.12,272
190,-4497.37,-5422.92,112
191,-4178.95,-5088.42,198
192,-4102.63,-4993.12,289
193,-4094.74,-4987.57,152
194,-4407.89,-5099.49,96
195,-4307.89,-5195.24,228
196,-4400.0,-5231.69,142
197,-4081.58,-4845.5,344
198,-4268.42,-5109.07,415
199,-4286.84,-5085.65,308
200,-4394.74,-5223.14,82
201,-4508.11,-5343.07,225
202,-4170.27,-5136.96,277
203,-4248.65,-5407.53,125
204,-4183.78,-5245.19,203
205,-4335.14,-5154.13,269
206,-4129.73,-4961.61,500
207,-4227.03,-5177.1,145
208,-4437.84,-5326.14,272
209,-4348.65,-5277.55,142
210,-4440.54,-5341.26,128
211,-4335.14,-5192.14,131
212,-4335.14,-5344.61,496
213,-4183.78,-5269.06,204
214,-4224.32,-5097.58,227
215,-4383.78,-5172.45,165
216,-4202.7,-5121.4,184
217,-4838.89,-5721.97,138
218,-4625.0,-5677.62,197
219,-4597.22,-5498.67,200
220,-4305.56,-5354.31,263
221,-4691.67,-5621.04,125
222,-4502.78,-5419.86,140
223,-4197.22,-5266.01,327
224,-4500.0,-5447.42,154
225,-4897.22,-5783.26,150
226,-4675.0,-5603.04,138
227,-4713.89,-5539.04,176
228,-4752.78,-5615.58,234
229,-4255.56,-5343.22,211
230,-4791.67,-5594.14,186
231,-4663.89,-5642.88,269
232,-4844.44,-5797.57,255
233,-4550.0,-5525.94,186
234,-4914.29,-6052.98,267
235,-4957.14,-5850.24,120
236,-4631.43,-5423.27,270
237,-5028.57,-5869.04,112
238,-4937.14,-5825.1,129
239,-4897.14,-5720.5,241
240,-4725.71,-5476.89,148
241,-4542.86,-5493.07,262
242,-4591.43,-5467.77,182
243,-4571.43,-5503.04,242
244,-4960.0,-5682.02,163
245,-4814.29,-5533.57,158
246,-4460.0,-5479.76,165
247,-4680.0,-5571.61,119
248,-4751.43,-5666.85,175
249,-4748.57,-5674.57,187
250,-4865.71,-5765.05,99
251,-4729.41,-5891.26,266
252,-5450.0,-6292.07,48
253,-5517.65,-6314.43,80
254,-5147.06,-5927.28,147
255,-4870.59,-5901.7,187
256,-4958.82,-5978.15,134
257,-5097.06,-6096.99,134
258,-5085.29,-5843.26,335
259,-4926.47,-5852.84,218
260,-5076.47,-6013.03,233
261,-5029.41,-6034.66,201
262,-5188.24,-6094.9,203
263,-5108.82,-6186.04,118
264,-4879.41,-5674.27,202
265,-4788.24,-5646.02,135
266,-4979.41,-6036.98,138
267,-5636.36,-6554.91,127
268,-5212.12,-6130.8,166
269,-5460.61,-6583.0,57
270,-5084.85,-6099.18,101
271,-5166.67,-5998.66,153
272,-5587.88,-6481.68,196
273,-5530.3,-6471.16,177
274,-5093.94,-6179.64,101
275,-5266.67,-6361.48,101
276,-5418.18,-6212.91,114
277,-5378.79,-6359.69,251
278,-5418.18,-6450.6,82
279,-5506.06,-6468.78,482
280,-5369.7,-6243.8,116
281,-5193.94,-5983.44,215
282,-5169.7,-6023.28,134
283,-4942.42,-6083.3,444
284,-5231.25,-6143.03,81
285,-5656.25,-6507.13,220
286,-5090.62,-6363.06,195
287,-5359.38,-6566.2,103
288,-5756.25,-6781.01,82
289,-5734.38,-6612.67,112
290,-5590.62,-6371.73,110
291,-5709.38,-6816.02,123
292,-5353.12,-6376.62,112
293,-5765.62,-6749.71,101
294,-5659.38,-6593.58,149
295,-5403.12,-6376.0,72
296,-5487.5,-6487.47,76
297,-5515.62,-6425.89,118
298,-5421.88,-6404.58,158
299,-5287.5,-6301.46,249
300,-5246.88,-6186.47,169
301,-5374.19,-6399.51,179
302,-5445.16,-6515.48,134
303,-5577.42,-6855.0,43
304,-5203.23,-6212.13,190
305,-5796.77,-6777.03,79
306,-5419.35,-6336.79,246
307,-5677.42,-6684.25,74
308,-5651.61,-6744.89,79
309,-5596.77,-6634.19,204
310,-5261.29,-6294.26,408
311,-5064.52,-6140.52,449
312,-5319.35,-6503.39,354
313,-5761.29,-6597.35,44
314,-5374.19,-6427.13,373
315,-5464.52,-6399.27,68
316,-5616.13,-6722.48,100
317,-5850.0,-7035.15,115
318,-5560.0,-6644.78,323
319,-5980.0,-6871.83,212
320,-5600.0,-6755.28,317
321,-6183.33,-7232.54,191
322,-5896.67,-6928.32,97
323,-6243.33,-7216.33,23
324,-5356.67,-6553.98,117
325,-5700.0,-6836.6,73
326,-5796.67,-6814.3,178
327,-6026.67,-7014.95,31
328,-5780.0,-6662.45,206
329,-5720.0,-6772.09,161
330,-6230.0,-7102.53,55
331,-5580.0,-6808.47,160
332,-5466.67,-6791.09,262
333,-5830.0,-6746.17,342
334,-6434.48,-7487.86,38
335,-6431.03,-7493.74,95
336,-6231.03,-7234.59,48
337,-6431.03,-7532.28,158
338,-6403.45,-7315.11,41
339,-6227.59,-7314.88,104
340,-6100.0,-7072.92,390
341,-5989.66,-6957.14,346
342,-5951.72,-7038.43,200
343,-6393.1,-7446.5,174
344,-6606.9,-7454.77,35
345,-6093.1,-7165.09,97
346,-5668.97,-6944.78,201
347,-5937.93,-7217.76,57
348,-6548.28,-7496.29,45
349,-5486.21,-6985.93,108
350,-6686.21,-7673.96,64
351,-6425.0,-7536.47,38
352,-6714.29,-7762.35,80
353,-6307.14,-7637.3,42
354,-7121.43,-8061.99,7
355,-6253.57,-7343.56,141
356,-6392.86,-7467.08,96
357,-6242.86,-7411.86,162
358,-6785.71,-7807.86,50
359,-7007.14,-7951.02,43
360,-6767.86,-7887.85,70
361,-6985.71,-7872.92,32
362,-7214.29,-8128.98,62
363,-6696.43,-7598.72,267
364,-6907.14,-7921.77,42
365,-6846.43,-7814.23,72
366,-6789.29,-7855.11,85
367,-6948.15,-8106.71,93
368,-7085.19,-8263.85,98
369,-6925.93,-8039.19,56
370,-6874.07,-8294.77,45
371,-6962.96,-7950.2,22
372,-7333.33,-8348.45,20
373,-7348.15,-8358.11,59
374,-6685.19,-7768.99,30
375,-7096.3,-8392.36,40
376,-7451.85,-8468.37,47
377,-7014.81,-8304.42,36
378,-6840.74,-8136.48,41
379,-7188.89,-8190.15,291
380,-7170.37,-8297.07,390
381,-7666.67,-8717.94,9
382,-7103.7,-8141.95,73
383,-6929.63,-8047.71,29
384,-8411.54,-9407.7,18
385,-7503.85,-8788.45,48
386,-7761.54,-8877.85,48
387,-7819.23,-8951.52,34
388,-7661.54,-8853.98,10
389,-7365.38,-8558.29,96
390,-7665.38,-8834.32,45
391,-8042.31,-9104.01,64
392,-7546.15,-8867.86,143
393,-7857.69,-9083.44,42
394,-7576.92,-8943.12,13
395,-7684.62,-8959.42,15
396,-7784.62,-8898.04,66
397,-6961.54,-8443.19,68
398,-7219.23,-8760.64,55
399,-7965.38,-9086.63,37
400,-7646.15,-8881.46,62
401,-8236.0,-9509.84,13
402,-8168.0,-9555.23,55
403,-8676.0,-9878.69,48
404,-8204.0,-9589.27,6
405,-8120.0,-9377.21,63
406,-8016.0,-9340.47,25
407,-7164.0,-8539.69,66
408,-8304.0,-9515.81,24
409,-8436.0,-9586.57,27
410,-7600.0,-9093.65,88
411,-8600.0,-9872.37,9
412,-7876.0,-9151.99,56
413,-8020.0,-9220.86,14
